time              Acceleration                 	Velocity                 Angel_Acceleration            	Angel_Velocity
0.7000s     (0.00000,1.57000,0.00000)    (0.00000,1.09900,0.00000)    (0.00000,0.00000,2.76303)    (0.00000,0.00000,0.65285)
0.7100s     (0.00000,1.57000,0.00000)    (0.00000,1.11470,0.00000)    (0.00000,0.00000,3.12828)    (0.00000,0.00000,0.68413)
0.7200s     (0.00000,1.57000,0.00000)    (0.00000,1.13040,0.00000)    (0.00000,0.00000,2.97199)    (0.00000,0.00000,0.71385)
0.7300s     (0.00000,1.57000,0.00000)    (0.00000,1.14610,0.00000)    (0.00000,0.00000,2.29674)    (0.00000,0.00000,0.73682)
0.7400s     (0.00000,1.57000,0.00000)    (0.00000,1.16180,0.00000)    (0.00000,0.00000,1.19866)    (0.00000,0.00000,0.74881)
0.7500s     (0.00000,1.57000,0.00000)    (0.00000,1.17750,0.00000)    (0.00000,0.00000,-0.13924)    (0.00000,0.00000,0.74742)
0.7600s     (0.00000,1.57000,0.00000)    (0.00000,1.19320,0.00000)    (0.00000,0.00000,-1.47175)    (0.00000,0.00000,0.73270)
0.7700s     (0.00000,1.57000,0.00000)    (0.00000,1.20890,0.00000)    (0.00000,0.00000,-2.53348)    (0.00000,0.00000,0.70736)
0.7800s     (0.00000,1.57000,0.00000)    (0.00000,1.22460,0.00000)    (0.00000,0.00000,-3.09277)    (0.00000,0.00000,0.67644)
0.7900s     (0.00000,1.57000,0.00000)    (0.00000,1.24030,0.00000)    (0.00000,0.00000,-3.00722)    (0.00000,0.00000,0.64636)
0.8000s     (0.00000,1.57000,0.00000)    (0.00000,1.25600,0.00000)    (0.00000,0.00000,-2.26674)    (0.00000,0.00000,0.62370)
0.8100s     (0.00000,1.57000,0.00000)    (0.00000,1.27170,0.00000)    (0.00000,0.00000,-1.01015)    (0.00000,0.00000,0.61359)
0.8200s     (0.00000,1.57000,0.00000)    (0.00000,1.28740,0.00000)    (0.00000,0.00000,0.49345)    (0.00000,0.00000,0.61853)
0.8300s     (0.00000,1.57000,0.00000)    (0.00000,1.30310,0.00000)    (0.00000,0.00000,1.89858)    (0.00000,0.00000,0.63751)
0.8400s     (0.00000,1.57000,0.00000)    (0.00000,1.31880,0.00000)    (0.00000,0.00000,2.86221)    (0.00000,0.00000,0.66614)
0.8500s     (0.00000,1.57000,0.00000)    (0.00000,1.33450,0.00000)    (0.00000,0.00000,3.12991)    (0.00000,0.00000,0.69744)
0.8600s     (0.00000,1.57000,0.00000)    (0.00000,1.35020,0.00000)    (0.00000,0.00000,2.60796)    (0.00000,0.00000,0.72352)
0.8700s     (0.00000,1.57000,0.00000)    (0.00000,1.36590,0.00000)    (0.00000,0.00000,1.40173)    (0.00000,0.00000,0.73753)
0.8800s     (0.00000,1.57000,0.00000)    (0.00000,1.38160,0.00000)    (0.00000,0.00000,-0.19372)    (0.00000,0.00000,0.73560)
0.8900s     (0.00000,1.57000,0.00000)    (0.00000,1.39730,0.00000)    (0.00000,0.00000,-1.75619)    (0.00000,0.00000,0.71803)
0.9000s     (0.00000,1.57000,0.00000)    (0.00000,1.41300,0.00000)    (0.00000,0.00000,-2.84346)    (0.00000,0.00000,0.68960)
0.9100s     (0.00000,1.57000,0.00000)    (0.00000,1.42870,0.00000)    (0.00000,0.00000,-3.12159)    (0.00000,0.00000,0.65838)
0.9200s     (0.00000,1.57000,0.00000)    (0.00000,1.44440,0.00000)    (0.00000,0.00000,-2.47718)    (0.00000,0.00000,0.63361)
0.9300s     (0.00000,1.57000,0.00000)    (0.00000,1.46010,0.00000)    (0.00000,0.00000,-1.07342)    (0.00000,0.00000,0.62288)
0.9400s     (0.00000,1.57000,0.00000)    (0.00000,1.47580,0.00000)    (0.00000,0.00000,0.67819)    (0.00000,0.00000,0.62966)
0.9500s     (0.00000,1.57000,0.00000)    (0.00000,1.49150,0.00000)    (0.00000,0.00000,2.23175)    (0.00000,0.00000,0.65198)
0.9600s     (0.00000,1.57000,0.00000)    (0.00000,1.50720,0.00000)    (0.00000,0.00000,3.07672)    (0.00000,0.00000,0.68274)
0.9700s     (0.00000,1.57000,0.00000)    (0.00000,1.52290,0.00000)    (0.00000,0.00000,2.91079)    (0.00000,0.00000,0.71185)
0.9800s     (0.00000,1.57000,0.00000)    (0.00000,1.53860,0.00000)    (0.00000,0.00000,1.75763)    (0.00000,0.00000,0.72943)
